Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST004365	Blood Protein Levels	Dual Specificity Mitogen-Activated Protein Kinase Kinase 4 Measurement	Suhre et al. 2017	(dual specificity mitogen-activated protein kinase kinase 4)	NA	beta	unit	EUR	0	1	2	0.136673617536812	65-73
GCST004365	Blood Protein Levels	Dual Specificity Mitogen-Activated Protein Kinase Kinase 4 Measurement	Suhre et al. 2017	(ea, dual specificity mitogen-activated protein kinase kinase 4)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004858	Dupuytren's Disease	Dupuytren Contracture	Ng et al. 2017	NA	NA	OR	NA	EUR	0	11	18	1.1085373026007015	99
GCST000841	Dupuytren's Disease	Dupuytren Contracture	Ojwang et al. 2010	NA	NA	OR	NA	EUR	0	1	1	2.493992782667985	59-95
GCST009897	Reading Disability	Dyslexia	Price et al. 2020	NA	NA	beta	z score	EUR	0	4	7	-0.32304336527603716	38
GCST003927	Dysmenorrheic Pain	Dysmenorrheic Pain Measurement	Jones et al. 2016	NA	NA	beta	unit	EUR	0	3	5	0.017971776146826105	9-12
GCST009731	Blood Protein Levels In Cardiovascular Risk	E-Selectin Measurement	Folkersen et al. 2017	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST000606	E-Selectin Levels	E-Selectin Measurement	Qi et al. 2010	NA	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004365	Blood Protein Levels	E-Selectin Measurement	Suhre et al. 2017	(e-selectin)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST004365	Blood Protein Levels	E-Selectin Measurement	Suhre et al. 2017	(ea, e-selectin)	NA	beta	unit	EUR	0	1	1	0.1564	45-89
GCST003489	Food Addiction	Eating Behaviour	Cornelis et al. 2016	(myscore, continuous)	NA	OR	NA	EUR	0	1	1	1.2727922061357857	86-100
GCST006642	Menstruation Quality Of Life Impact (Increased Appetite)	Eating Behaviour	Hirata et al. 2018	NA	NA	beta	unit	EUR	0	3	3	-0.100659	26-30
GCST003132	Eating Disorder In Bipolar Disorder	Eating Disorder	Liu et al. 2015	NA	NA	OR	NA	EUR	0	2	4	1.3469376028577158	86
GCST001513	Economic And Political Preferences (Fairness)	Economic And Social Preference	Benjamin et al. 2012	NA	NA	beta	unit	EUR	0	4	6	0.02415400173844417	81
GCST001514	Economic And Political Preferences (Feminism/Equality)	Economic And Social Preference	Benjamin et al. 2012	NA	NA	beta	unit	EUR	0	5	10	0.02051460067417713	59
GCST001519	Economic And Political Preferences	Economic And Social Preference	Benjamin et al. 2012	(economic policy)	NA	beta	unit	EUR	0	5	5	-0.060399999999999995	99
GCST001519	Economic And Political Preferences	Economic And Social Preference	Benjamin et al. 2012	(education)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST001519	Economic And Political Preferences	Economic And Social Preference	Benjamin et al. 2012	(foreign policy)	NA	beta	unit	EUR	0	2	3	-0.0027219511661339	62-78
GCST001519	Economic And Political Preferences	Economic And Social Preference	Benjamin et al. 2012	(risk)	NA	beta	unit	EUR	0	3	5	-0.009913868229761862	29-32
GCST001519	Economic And Political Preferences	Economic And Social Preference	Benjamin et al. 2012	(trust)	NA	beta	unit	EUR	0	2	3	-0.05538878607767467	7-9
GCST009716	Allergic Disease (Asthma, Hay Fever Or Eczema)	Eczema	Johansson et al. 2019	NA	NA	OR	NA	EUR	0	43	79	1.032678601670839	42
GCST009717	Hay Fever And/Or Eczema	Eczema	Johansson et al. 2019	NA	NA	OR	NA	EUR	0	84	153	1.0341045757928753	7
GCST011356	Academic Attainment (Science)	Educational Attainment	Donati et al. 2021	NA	NA	beta	unit	EUR	0	12	23	0.012230421668579338	92
GCST004365	Blood Protein Levels	Elafin Measurement	Suhre et al. 2017	(ea, elafin)	NA	beta	unit	EUR	0	1	1	0.2014	68-97
GCST000564	Electrocardiographic Traits	Electrocardiography	Chambers et al. 2010	(qtc interval)	NA	beta	ms	EUR	0	1	2	0.2232982156669245	0-61
GCST000344	Electrocardiographic Conduction Measures	Electrocardiography	Smith et al. 2009	(pr interval)	NA	beta	ms	EUR	0	2	3	0.32374541442559646	34
GCST005905	Global Electrical Heterogeneity Phenotypes	Electrocardiography	Tereshchenko et al. 2018	(qrs-t angle)	NA	beta	unit	EUR	0	2	3	-0.024070546824241524	17-28
GCST005905	Global Electrical Heterogeneity Phenotypes	Electrocardiography	Tereshchenko et al. 2018	(sai qrst)	NA	beta	unit	EUR	0	4	7	0.01540575552612341	62-66
GCST005905	Global Electrical Heterogeneity Phenotypes	Electrocardiography	Tereshchenko et al. 2018	(svg azimuth)	NA	beta	unit	EUR	0	2	2	-0.02	3-9
GCST005905	Global Electrical Heterogeneity Phenotypes	Electrocardiography	Tereshchenko et al. 2018	(svg elevation)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST005905	Global Electrical Heterogeneity Phenotypes	Electrocardiography	Tereshchenko et al. 2018	(svg magnitude)	NA	beta	unit	EUR	0	1	2	-0.036967109936812195	83
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-100 ms)	NA	beta	unit	EUR	0	13	22	0.0016037412912324543	85
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-104 ms)	NA	beta	unit	EUR	0	15	23	0.004710003453879429	82
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-106 ms)	NA	beta	unit	EUR	0	17	25	-0.0002882953741095667	83
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-108 ms)	NA	beta	unit	EUR	0	18	28	-0.004425447992400934	74-75
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-110 ms)	NA	beta	unit	EUR	0	14	23	-0.0018103155641550075	57
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-112 ms)	NA	beta	unit	EUR	0	13	22	-0.0036838118439552993	64
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-114 ms)	NA	beta	unit	EUR	0	13	22	-0.0043059568207527	45
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-116 ms)	NA	beta	unit	EUR	0	12	20	0.00047575518971076507	46
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-118 ms)	NA	beta	unit	EUR	0	11	16	-0.004846695130987968	52
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-120 ms)	NA	beta	unit	EUR	0	9	13	-0.003948674414250841	37
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-122 ms)	NA	beta	unit	EUR	0	8	14	-0.0027756453413323003	61
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-124 ms)	NA	beta	unit	EUR	0	6	10	-0.01323293854758823	63
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-126 ms)	NA	beta	unit	EUR	0	3	5	-0.013864975699203707	50-55
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-128 ms)	NA	beta	unit	EUR	0	3	5	-0.01382372678251793	56-57
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-130 ms)	NA	beta	unit	EUR	0	2	4	-0.014251734406535918	52-63
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-132 ms)	NA	beta	unit	EUR	0	1	2	-0.0441127163915269	29-61
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-14 ms)	NA	beta	unit	EUR	0	14	23	0.01159939051712581	17
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-152 ms)	NA	beta	unit	EUR	0	2	4	0.036501980298113336	53-54
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-16 ms)	NA	beta	unit	EUR	0	15	26	0.00218185295808154	31
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-18 ms)	NA	beta	unit	EUR	0	15	27	0.00012949524944390694	21
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-180 ms)	NA	beta	unit	EUR	0	3	5	0.02574076353217506	62-63
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-182 ms)	NA	beta	unit	EUR	0	4	7	-0.004029735387300369	72
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-20 ms)	NA	beta	unit	EUR	0	15	29	-0.003906161521801483	14
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-22 ms)	NA	beta	unit	EUR	0	14	24	-0.0052219239610173385	25
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-24 ms)	NA	beta	unit	EUR	0	13	24	-0.016927926663443834	58
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-26 ms)	NA	beta	unit	EUR	0	15	26	-0.01737798807138258	59
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-28 ms)	NA	beta	unit	EUR	0	15	25	-0.019216189292732958	88
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-30 ms)	NA	beta	unit	EUR	0	10	17	-0.021179760968631816	86
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-312 ms)	NA	beta	unit	EUR	0	1	1	-0.01550605	0-22
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-32 ms)	NA	beta	unit	EUR	0	10	16	-0.02800876323192363	59
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-34 ms)	NA	beta	unit	EUR	0	9	12	-0.005461408600211774	79
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-36 ms)	NA	beta	unit	EUR	0	5	9	0.004009416464696533	89
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-4 ms)	NA	beta	unit	EUR	0	12	22	0.016523656887211826	40
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-46 ms)	NA	beta	unit	EUR	0	2	3	-0.018636434119652732	72-81
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-48 ms)	NA	beta	unit	EUR	0	1	2	-0.004563945230444441	34-35
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-50 ms)	NA	beta	unit	EUR	0	1	1	0.02240425	64-96
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-52 ms)	NA	beta	unit	EUR	0	1	2	-0.036198182337318356	60-91
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-54 ms)	NA	beta	unit	EUR	0	2	3	-0.00834677054453658	55-56
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-56 ms)	NA	beta	unit	EUR	0	3	4	-0.0042995208619750125	53-54
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-58 ms)	NA	beta	unit	EUR	0	3	4	-0.008347353188910337	52
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-6 ms)	NA	beta	unit	EUR	0	11	19	0.0240798571794818	20
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-60 ms)	NA	beta	unit	EUR	0	3	4	-0.013420766177378161	22-23
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-62 ms)	NA	beta	NA	EUR	0	2	2	NF	NA
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-64 ms)	NA	beta	NA	EUR	0	1	1	NF	NA
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-8 ms)	NA	beta	unit	EUR	0	8	16	0.014070834926650516	9
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-88 ms)	NA	beta	unit	EUR	0	6	12	0.005386478794352733	43
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-90 ms)	NA	beta	unit	EUR	0	7	13	0.007071773070716993	45
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-92 ms)	NA	beta	unit	EUR	0	8	15	0.011582523055383194	38
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-94 ms)	NA	beta	unit	EUR	0	8	14	0.002264880179805203	71
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-96 ms)	NA	beta	unit	EUR	0	12	19	0.0015861328762319063	80
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(-98 ms)	NA	beta	unit	EUR	0	13	19	0.0008180344342531455	77
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(0 ms)	NA	beta	unit	EUR	0	9	18	0.024580026249111556	36
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(100 ms)	NA	beta	unit	EUR	0	11	22	-0.0008410049824812876	16
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(102 ms)	NA	beta	unit	EUR	0	11	19	0.008210404576914241	7
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(104 ms)	NA	beta	unit	EUR	0	13	18	0.016350077238012725	9
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(106 ms)	NA	beta	unit	EUR	0	12	20	0.013824885891058753	10
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(108 ms)	NA	beta	unit	EUR	0	12	22	0.009541031611883008	18
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(110 ms)	NA	beta	unit	EUR	0	17	28	0.008169061718491714	7
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(112 ms)	NA	beta	unit	EUR	0	13	24	0.007120783288457527	15
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(114 ms)	NA	beta	unit	EUR	0	17	28	0.002863427774231777	22
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(116 ms)	NA	beta	unit	EUR	0	18	28	0.00358931916087663	15
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(118 ms)	NA	beta	unit	EUR	0	17	30	0.0037895354001534413	28
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(120 ms)	NA	beta	unit	EUR	0	16	27	0.013221826477326903	22
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(122 ms)	NA	beta	unit	EUR	0	16	26	0.00151509466294247	21
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(124 ms)	NA	beta	unit	EUR	0	15	26	0.006837289013940973	10
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(126 ms)	NA	beta	unit	EUR	0	18	28	0.0056351420611633115	5
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(128 ms)	NA	beta	unit	EUR	0	19	34	0.005561165644108753	33
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(130 ms)	NA	beta	unit	EUR	0	17	32	0.003137665125674074	19
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(132 ms)	NA	beta	unit	EUR	0	16	30	-0.0009665605575821049	8
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(134 ms)	NA	beta	unit	EUR	0	17	28	0.007480121038983291	8
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(136 ms)	NA	beta	unit	EUR	0	18	29	0.0009368041405446428	7
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(138 ms)	NA	beta	unit	EUR	0	22	34	0.00010902820240618754	19
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(140 ms)	NA	beta	unit	EUR	0	21	35	0.0027607498715799023	7
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(142 ms)	NA	beta	unit	EUR	0	21	36	0.00022706095200552648	6
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(144 ms)	NA	beta	unit	EUR	0	24	37	-0.0046092827580750985	22
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(146 ms)	NA	beta	unit	EUR	0	25	39	-0.005198942555744152	33
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(148 ms)	NA	beta	unit	EUR	0	22	35	-0.0009776241925519766	8
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(150 ms)	NA	beta	unit	EUR	0	17	30	0.005839011070034877	6
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(152 ms)	NA	beta	unit	EUR	0	18	35	0.0008569581219684002	10
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(154 ms)	NA	beta	unit	EUR	0	20	37	0.0024327599014799957	23
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(156 ms)	NA	beta	unit	EUR	0	19	36	0.005929477463813517	13
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(158 ms)	NA	beta	unit	EUR	0	23	38	0.004742454847947645	10
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(160 ms)	NA	beta	unit	EUR	0	24	41	-0.0007087266509310529	25
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(162 ms)	NA	beta	unit	EUR	0	21	37	0.007644016198388689	23
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(164 ms)	NA	beta	unit	EUR	0	24	43	0.005366280468739442	16
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(166 ms)	NA	beta	unit	EUR	0	28	44	0.006119628030742169	10
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(168 ms)	NA	beta	unit	EUR	0	27	43	0.0052488573127524385	4
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(170 ms)	NA	beta	unit	EUR	0	30	49	-0.0010907382425151008	4
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(172 ms)	NA	beta	unit	EUR	0	26	47	-0.00042262076269510376	10
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(174 ms)	NA	beta	unit	EUR	0	26	42	0.006262099166689078	6
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(176 ms)	NA	beta	unit	EUR	0	22	41	0.006197428242749733	9
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(178 ms)	NA	beta	unit	EUR	0	21	39	0.007583021602880164	16
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(180 ms)	NA	beta	unit	EUR	0	23	44	0.0014279623113705653	6
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(182 ms)	NA	beta	unit	EUR	0	27	42	0.0013405121202359506	16
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(184 ms)	NA	beta	unit	EUR	0	22	40	0.002085243586294378	3
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(186 ms)	NA	beta	unit	EUR	0	21	38	0.004059341128664855	8
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(188 ms)	NA	beta	unit	EUR	0	24	39	0.0056927660846583395	11
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(190 ms)	NA	beta	unit	EUR	0	24	37	0.0031087741827104964	25
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(192 ms)	NA	beta	unit	EUR	0	24	40	0.005059265198132079	14
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(194 ms)	NA	beta	unit	EUR	0	23	42	0.009105281956287644	14
GCST010796	Electrocardiogram Morphology (Amplitude At Temporal Datapoints)	Electrocardiography	Verweij et al. 2020	(196 ms)	NA	beta	unit	EUR	0	23	41	0.005930432739585451	12
